,TITLE,POSTED DATE,PRICE,BEDS,BATHS,SQUARE FOOT,ADDRESS,FEATURES,LATITUDE,LONGITUDE,IMAGE LINK
87,"Pre-wired for multiple cable and phone lines, BBQ area, Pet friendly",Mar  6,4220,2,2,,11950 Idaho Ave,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. no smoking 6. attached garage 7. wheelchair accessible ,34.039909,-118.459812,https://images.craigslist.org/00707_cxRuAdPYz0V_600x450.jpg
88,Ready for immediate move in* What a LOCATION! Call us today!,Mar  6,2095,1,1,,3300 Castle Heights Ave,1. apartment ,34.031310,-118.399911,https://images.craigslist.org/00I0I_g9qdHX5D2h9_600x450.jpg
89,"What a great place to live! 1 bd, 1 ba, 665 sq ft. Bungalow!",Mar  6,1886,1,1,665,4928 W Martin Luther King Jr Blvd,1. apartment 2. laundry on site 3. carport ,34.020652,-118.352250,https://images.craigslist.org/00Y0Y_1lhPhl5t7JP_600x450.jpg
90,* BEVERLY HILLS * BEVERLY HILLS * 90212 FOR LEASE !!!!,Mar  6,4395,1800,2,,,1. apartment 2. w/d in unit ,34.061900,-118.399500,https://images.craigslist.org/00G0G_hFRh0Dxa0qp_600x450.jpg
91,"Expansive balconies or patios, Nine-foot ceilings, Roller shades",Mar  6,2545,1,1,790,321 N Orange St,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment ,34.150670,-118.256797,https://images.craigslist.org/00X0X_kTPG6sKXvI3_600x450.jpg
92,2 Bed/2 Bath-Corner Unit-Full Length Balcony-Harbor Views!!,Mar  6,4683,2,2,1561,4170 Admiralty Way,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. no smoking 6. attached garage 7. wheelchair accessible ,33.977900,-118.452500,https://images.craigslist.org/00909_83eMDYrVif8_600x450.jpg
93,"Charming one bedroom apartment, conveniently located* Fresh Paint*",Mar  6,2250,1,1,,3305 S Durango,1. apartment 2. w/d in unit 3. carport ,34.031261,-118.393334,https://images.craigslist.org/00404_4NgwO22t3NY_600x450.jpg
94,Large 3 Bedroom in the Heart of Culver City,Mar  6,6628,3,3,1758,,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. no smoking 6. off-street parking 7. wheelchair accessible ,34.016800,-118.397300,https://images.craigslist.org/00S0S_hl5naZLbnap_600x450.jpg
95,1 Bedroom 1 Bath in Westchester + Pool + Gym + A/C + Fridge + BBQ/Picnic Area,Mar  6,2495,1,1,750,8501 Sepulveda Boulevard,1. cats are OK - purrr 2. apartment 3. laundry on site 4. detached garage ,34.224503,-118.467616,https://images.craigslist.org/00c0c_zkw9WTY5If_600x450.jpg
96,We'll Take Care Of You AND Pay Your Rent!,Mar  6,1800,1,1,850,Del Amo Blvd at Campaign Drive,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry on site 5. carport ,33.846616,-118.255905,https://images.craigslist.org/00j0j_bIH0EFe764H_600x450.jpg
97,1 bd 1 ba For Lease!,Mar  6,2245,1,1,810,3767 Clarington Ave,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry in bldg 5. no smoking 6. attached garage 7. wheelchair accessible ,34.023086,-118.401261,https://images.craigslist.org/01212_ldOlCjFa65r_600x450.jpg
98,"((=3 beds 2 baths 1,144 sqft home available now=))",Mar  6,2000,,,,,1. apartment ,34.219700,-118.611100,https://images.craigslist.org/00q0q_u9r8em9hB3_600x450.jpg
99,Dual Master Two Bedroom 2 Bath in Hear of Marina!,Mar  6,3931,2,2,1130,13488 Maxella Ave,1. apartment ,33.986223,-118.442466,https://images.craigslist.org/00c0c_9HHyLd96TG0_600x450.jpg
100,Express Your Individuality at Citrus Suites.,Mar  6,3672,1,1,590,1915,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. no smoking ,34.010000,-118.471700,https://images.craigslist.org/00b0b_alAHR99nZwg_600x450.jpg
101,What Would You Do With $1800?,Mar  6,1825,1,1,850,Del Amo Blvd at Campaign Drive,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry on site 5. carport ,33.846616,-118.255905,https://images.craigslist.org/00404_2VXzYZ9Ah67_600x450.jpg
102,Blending Relaxation & Sophistication to Create the Ideal Place.,Mar  6,4920,1,1,500,1915,1. cats are OK - purrr 2. dogs are OK - wooof 3. furnished 4. apartment 5. w/d in unit 6. no smoking ,34.010000,-118.471700,https://images.craigslist.org/00G0G_3nMjeAQa4Uc_600x450.jpg
103,Beautiful Modern One Bedrooms Just Renovated! Call Today For Your Tour!,Mar  6,2250,1,1,736,Yukon Ave Apt at Rodondo Beach Blvd.,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry in bldg 5. no smoking 6. detached garage ,33.879953,-118.335008,https://images.craigslist.org/00l0l_ebKsllX6tEX_600x450.jpg
104,Top floor modern 1BR half block to Venice Beach and Boardwalk!,Mar  6,2799,1,1,,35 Clubhouse Ave.,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. no smoking 5. off-street parking ,33.989577,-118.474750,https://images.craigslist.org/00v0v_5XUaNxq3EyZ_600x450.jpg
105,Close to Cluver City.  Modern Meets Vintage 2 Bed & 1.5 Bath,Mar  6,2550,880,2,,3646 Mentone Avenue,1. cats are OK - purrr 2. apartment 3. laundry in bldg 4. detached garage ,34.023278,-118.408060,https://images.craigslist.org/01111_9fnFujAc0OU_600x450.jpg
106,"WH- Brand New 3 Bedroom, 3 bathroom",Mar  6,3895,3,3,,6217 waring avenue,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. w/d in unit 5. attached garage ,34.085309,-118.331390,https://images.craigslist.org/00000_8Jhu3D655Kz_600x450.jpg
107,Brentwood - Zen Studio Now Available with Patio,Mar  6,1895,0,1,440,11946 Kiowa,1. cats are OK - purrr 2. apartment 3. laundry on site 4. street parking ,37.956215,-121.769452,https://images.craigslist.org/00U0U_lEKwIVdzfc_600x450.jpg
108,Bungalow style unit w/ hardwood floors & private garage. Sunset Park!,Mar  6,2995,2,1,,2103 Oak St.,1. cats are OK - purrr 2. dogs are OK - wooof 3. apartment 4. laundry in bldg 5. no smoking 6. detached garage ,34.013719,-118.462695,https://images.craigslist.org/00202_5LmH73R6l6o_600x450.jpg
