,SOLD DATE,ADDRESS,CITY,STATE,POSTAL CODE,PRICE,BEDS,BATHS,PROPERTY TYPE,SQUARE FOOT
264,FEB 4 2019,3827 West 59th St,Los Angeles (City),CA,90043,875000,5,3,SingleFamilyResidence,2114
265,FEB 4 2019,7700 Kentwood Ave,Los Angeles (City),CA,90045,1470000,3,3,SingleFamilyResidence,2023
266,FEB 4 2019,2833 West Silver Lake Dr,Los Angeles (City),CA,90039,739000,1,1,SingleFamilyResidence,669
267,FEB 4 2019,8108 Laurel View Dr,Los Angeles (City),CA,90069,3250000,3,325,SingleFamilyResidence,3317
268,FEB 4 2019,2609 Devista Pl,Los Angeles (City),CA,90046,2700000,4,45,SingleFamilyResidence,3650
269,FEB 4 2019,2000 La Brea Ter,Los Angeles (City),CA,90046,7900000,5,75,SingleFamilyResidence,8500
270,FEB 4 2019,8007 Mcdermott Ave,Reseda,CA,91335,600000,4,2,SingleFamilyResidence,1342
271,FEB 4 2019,10116 Empyrean Way #201,Los Angeles (City),CA,90067,1825000,2,25,SingleFamilyResidence,
272,FEB 4 2019,12337 Ridge Cir,Los Angeles (City),CA,90049,1500000,2,25,SingleFamilyResidence,3228
273,FEB 4 2019,3314 Griffith Park Blvd #3,Los Angeles (City),CA,90027,608000,2,15,SingleFamilyResidence,1068
274,FEB 4 2019,1003 E Young St,Wilmington,CA,90744,605000,5,3,Accommodation,2799
275,FEB 2 2019,7342 Matilija Ave,Van Nuys,CA,91405,457000,2,2,SingleFamilyResidence,1223
276,FEB 2 2019,11005 Borden Ave,Pacoima,CA,91331,502000,3,2,SingleFamilyResidence,1172
277,FEB 1 2019,10513 Chandler Blvd,North Hollywood,CA,91601,670000,2,2,Accommodation,1045
278,FEB 1 2019,9102 Helen Ave,Sun Valley,CA,91352,665000,3,2,SingleFamilyResidence,1697
279,FEB 1 2019,944 N Ditman,Los Angeles,CA,90063,475000,6,5,SingleFamilyResidence,2033
280,FEB 1 2019,4130 Verdugo View Dr,Los Angeles (City),CA,90065,850000,2,1,SingleFamilyResidence,1230
281,FEB 1 2019,249 E 126th St,Los Angeles,CA,90061,450000,2,1,SingleFamilyResidence,874
282,FEB 1 2019,724 King Ave,Wilmington,CA,90744,418000,3,2,Accommodation,1400
283,FEB 1 2019,5651 Ponce Ave,Woodland Hills,CA,91367,947500,4,25,SingleFamilyResidence,2182
284,FEB 1 2019,18366 Collins St Unit B,Tarzana,CA,91356,455000,2,3,SingleFamilyResidence,1659
285,FEB 1 2019,849 S Broadway #304,Los Angeles,CA,90014,1225000,1,1,SingleFamilyResidence,1490
